acct_id,name,ntee_major,revenue,state,subsection_type,employee_count,total_expenses,occupancy_expense
NP-0001,Riverside Youth Foundation,youth_development,98265,CA,501c3,0,96031,2901
NP-0002,Faith Learning Center,education,437700,NY,501c3,19,367598,46237
NP-0003,Foundation Social Services,human_services,16294238,IL,501c3,92,12535862,2145940
NP-0004,Phoenix Neighborhood Coalition,community_improvement,17701506,CO,501c3,80,17550516,3074821
NP-0005,Phoenix Community Services,human_services,55229,CA,501c3,4,57328,4661
NP-0006,Cedar Wellness Network,mental_health,3718057,FL,501c3,17,3563969,436853
NP-0007,Riverside Research Society,diseases,429467,AK,501c3,12,462793,24688
NP-0008,Capital Awareness Campaign,diseases,438196,CA,501c4,12,372399,59665
NP-0009,Pinewood Scholarship Fund,education,445825,TX,501c3,20,386399,54568
NP-0010,New Transitional Housing,housing_shelter,30242,MN,501c3,1,23065,6486
NP-0011,Bayside Wellness Foundation,health_care,560058,WA,501c6,19,553578,66106
NP-0012,Saint Scholarship Fund,education,762451,CA,501c3,7,588064,133474
NP-0013,Heritage Scouts Council,youth_development,454112,TX,501c3,18,481310,40249
NP-0014,International Tech Initiative,science_tech,23591,OR,501c3,2,19986,903
NP-0015,Willow Tutoring Initiative,education,89753,MI,501c3,1,76995,17590
NP-0016,Golden Community Clinic,health_care,235679,WY,501c3,2,179777,12775
NP-0017,Central Trail Conservancy,recreation,7208,CA,501c3,2,7259,1235
NP-0018,First Green Initiative,environment,373907,TX,501c6,9,370308,19760
NP-0019,Willow Mental Health Initiative,mental_health,8224,GA,501c3,0,8142,44
NP-0020,Bright Habitat,housing_shelter,119761,TX,501c3,1,126351,13793
NP-0021,Faith Religious Society,religion,40913,KS,501c3,0,44605,6112
NP-0022,Hope Hospital Volunteers,health_care,245691,AL,501c3,3,193599,22981
NP-0023,Community Community Services,human_services,20623,CA,501c3,1,20947,2996
NP-0024,Lighthouse Scholarship Fund,education,249336,CA,501c3,1,244590,33372
NP-0025,Valley Habitat,housing_shelter,625140,NM,501c3,10,552835,118776
NP-0026,Southside Theater Company,arts_culture,22617,TN,501c3,0,21184,8238
NP-0027,First Community Clinic,health_care,92858,NC,501c3,2,90790,21947
NP-0028,Eastview Hospital Volunteers,health_care,34232,AR,501c3,1,32868,6053
NP-0029,Eastview Pantry,food_agriculture,18879,NV,501c3,2,15418,862
NP-0030,Phoenix Helpline,human_services,7465,WA,501c3,2,7147,256
NP-0031,Children Safety Coalition,public_safety,110458,GA,501c3,4,88356,4676
NP-0032,National Temple,religion,60649,MN,501c6,5,65994,6515
