county_fips,risk_score,eal_cents,nri_version,data_vintage
20209,78.4,142000000,NRI-March-2023,2023
20173,84.1,231500000,NRI-March-2023,2023
20091,71.2,98700000,NRI-March-2023,2023
20045,69.8,76400000,NRI-March-2023,2023
20177,73.5,121900000,NRI-March-2023,2023
29095,86.3,318200000,NRI-March-2023,2023
29189,80.7,264100000,NRI-March-2023,2023
29510,82.9,247800000,NRI-March-2023,2023
31055,74.6,154300000,NRI-March-2023,2023
31109,68.4,89100000,NRI-March-2023,2023
48201,97.8,1284000000,NRI-March-2023,2023
48113,94.2,742600000,NRI-March-2023,2023
48029,91.5,505300000,NRI-March-2023,2023
12086,99.6,2153000000,NRI-March-2023,2023
22071,96.9,1487000000,NRI-March-2023,2023
06037,99.9,1962000000,NRI-March-2023,2023
06073,93.1,684500000,NRI-March-2023,2023
36061,95.4,1041000000,NRI-March-2023,2023
17031,92.7,876200000,NRI-March-2023,2023
08031,70.3,112800000,NRI-March-2023,2023
